customer_return_rate,total_previous_orders,total_previous_returns,customer_history_days,days_since_last_order,cart_value,cart_item_count,multiple_sizes_same_product,max_sizes_same_product,average_product_return_rate,previous_returns_same_category,avg_days_to_return,return_abuse_label
0.0,4,0,797,23,2109.06,1,0,1,0.1241,0,0.0,0
0.1667,30,5,666,25,1923.43,2,1,2,0.0156,0,11.14,1
0.0,16,0,256,31,2356.88,1,0,1,0.2273,0,0.0,0
0.1429,7,1,650,23,1324.51,2,0,1,0.1087,0,27.42,1
0.4615,13,6,720,13,2070.36,2,0,1,0.3917,1,17.17,1
0.4,5,2,412,16,1390.74,1,0,1,0.0919,0,13.51,0
0.5,14,7,793,21,2040.81,1,0,1,0.035,1,12.79,0
0.0667,15,1,298,49,1850.92,1,0,1,0.2188,0,12.91,0
0.0,15,0,840,16,2617.04,2,0,1,0.0905,0,0.0,0
0.1,20,2,323,12,1110.0,1,0,1,0.0145,1,22.16,0
0.0588,17,1,301,24,1149.55,1,0,1,0.2737,0,23.83,0
0.0769,13,1,771,18,1972.3,1,0,1,0.095,0,19.62,0
0.0,9,0,798,50,2625.94,2,0,1,0.384,0,0.0,0
0.0,11,0,455,24,2493.28,2,1,2,0.1347,0,0.0,0
0.1667,12,2,515,26,2390.94,1,0,1,0.1585,0,12.75,1
0.25,8,2,496,16,1748.53,1,0,1,0.2025,0,31.62,0
0.0,9,0,227,26,2800.35,2,0,1,0.1601,0,0.0,0
0.4286,7,3,757,15,2446.74,1,0,1,0.0889,1,32.06,0
0.3,10,3,751,16,1540.21,1,0,1,0.2599,0,20.98,0
0.0,14,0,251,21,3120.95,1,0,1,0.3262,0,0.0,0
0.0,10,0,463,22,1509.5,1,0,1,0.0702,0,0.0,0
0.1765,17,3,786,35,951.06,1,0,1,0.1382,0,12.65,0
0.0,28,0,429,10,2215.09,2,0,1,0.3102,0,0.0,0
0.0,38,0,521,21,2171.06,2,0,1,0.1989,0,0.0,0
0.122,41,5,358,20,1923.73,3,0,1,0.1839,0,20.23,1
