customer_return_rate,total_previous_orders,total_previous_returns,customer_history_days,days_since_last_order,cart_value,cart_item_count,multiple_sizes_same_product,max_sizes_same_product,average_product_return_rate,previous_returns_same_category,avg_days_to_return,return_abuse_label
0.4,20,8,313,13,2526.1,2,0,1,0.0679,2,20.18,0
0.1,10,1,347,30,1873.1,2,1,2,0.2077,0,26.25,0
0.25,8,2,923,16,1326.36,2,1,2,0.0685,0,13.72,0
0.4444,9,4,539,32,1296.71,2,1,2,0.2287,1,15.55,1
0.0714,28,2,222,13,1937.57,3,0,1,0.1337,0,32.8,0
0.0909,11,1,702,13,2892.61,2,0,1,0.0712,0,41.51,0
0.2,5,1,856,44,2337.99,1,0,1,0.2613,0,30.95,0
0.0,8,0,893,23,1587.49,2,0,1,0.2324,0,0.0,1
0.2222,9,2,951,11,1113.97,1,0,1,0.4088,0,18.71,0
0.0476,21,1,616,24,1841.14,1,0,1,0.062,0,16.13,0
0.1304,23,3,698,11,1100.96,1,0,1,0.2089,0,10.38,0
0.0,19,0,641,11,946.98,1,0,1,0.3357,0,0.0,0
0.04,25,1,268,26,1246.99,2,0,1,0.2079,0,12.97,0
0.0769,13,1,387,6,1978.83,1,0,1,0.3524,0,13.25,0
0.3077,13,4,318,25,2113.87,1,0,1,0.0717,1,15.42,0
0.0,8,0,486,10,3795.86,2,0,1,0.1953,0,0.0,0
0.0,11,0,269,7,2206.3,2,0,1,0.0462,0,0.0,0
0.0,5,0,573,11,2539.92,2,0,1,0.1501,0,0.0,0
0.0,5,0,580,32,1602.01,2,0,1,0.0988,0,0.0,1
0.2105,19,4,397,16,2267.72,2,0,1,0.1146,0,15.73,0
0.0,4,0,977,14,2635.19,2,0,1,0.0379,0,0.0,1
0.3,10,3,569,24,1401.25,2,0,1,0.1814,0,34.14,0
0.0,12,0,562,41,1512.89,1,0,1,0.179,0,0.0,0
0.1111,9,1,951,18,3263.76,2,1,2,0.1207,0,31.43,0
0.0,13,0,724,20,1469.44,1,0,1,0.2341,0,0.0,0
0.1,10,1,561,22,1626.36,1,0,1,0.2685,0,32.25,0
0.2857,7,2,713,18,1578.33,1,0,1,0.1386,0,21.21,0
0.0714,14,1,460,15,1864.01,3,0,1,0.1421,0,16.57,0
0.0,10,0,326,17,2088.48,2,0,1,0.2089,0,0.0,0
