customer_return_rate,total_previous_orders,total_previous_returns,customer_history_days,days_since_last_order,cart_value,cart_item_count,multiple_sizes_same_product,max_sizes_same_product,average_product_return_rate,previous_returns_same_category,avg_days_to_return,return_abuse_label
0.5,4,2,804,18,2075.6,1,0,1,0.1354,0,12.38,0
0.36,25,9,819,18,1757.08,1,0,1,0.0851,0,12.99,0
0.0,7,0,863,23,1913.21,1,0,1,0.2034,0,0.0,0
0.0,11,0,728,33,2068.18,2,0,1,0.2427,0,0.0,1
0.25,8,2,421,29,2365.38,2,0,1,0.2134,0,22.08,0
0.0556,18,1,427,20,1120.68,1,0,1,0.2077,0,24.41,0
0.0,20,0,431,23,2043.37,2,0,1,0.1132,0,0.0,1
0.0,20,0,264,12,2082.92,3,0,1,0.3127,0,0.0,0
0.125,16,2,568,24,1166.51,1,0,1,0.2735,0,14.96,0
0.0,10,0,210,15,2516.49,2,0,1,0.2572,0,0.0,1
0.1667,6,1,794,23,2332.94,1,0,1,0.0972,0,11.14,0
0.0,10,0,898,40,1728.42,2,0,1,0.0904,0,0.0,0
0.1429,7,1,840,32,1271.02,1,0,1,0.1871,1,16.62,0
0.4,15,6,669,14,1173.74,1,0,1,0.326,1,11.88,0
0.0,5,0,383,12,4963.52,2,0,1,0.0712,0,0.0,1
0.0,12,0,197,19,1788.24,1,0,1,0.1602,0,0.0,0
0.0667,30,2,220,13,1676.6,1,0,1,0.3244,1,18.56,0
0.1034,29,3,496,23,894.94,1,0,1,0.2855,0,11.93,0
0.0833,24,2,876,26,1504.6,1,0,1,0.2113,0,29.03,0
0.4167,12,5,837,42,1381.21,2,0,1,0.048,1,7.27,0
0.5,4,2,278,10,2614.61,2,0,1,0.221,0,12.87,0
0.0,7,0,779,15,2058.97,2,1,2,0.2089,0,0.0,0
0.0714,14,1,857,12,1818.55,1,0,1,0.3324,0,21.84,0
0.0,17,0,297,23,2739.38,3,0,1,0.2443,0,0.0,0
0.0909,11,1,753,38,2339.45,1,0,1,0.1224,0,25.06,0
0.4706,17,8,762,32,1096.69,1,0,1,0.1755,3,15.85,0
0.0,16,0,511,51,1552.79,1,0,1,0.0767,0,0.0,0
0.1,10,1,569,35,1370.8,1,0,1,0.1815,0,18.22,0
0.3333,18,6,607,15,2483.29,2,0,1,0.1639,0,8.74,1
0.1905,21,4,278,6,2040.69,3,1,2,0.0343,0,20.86,0
0.25,8,2,993,19,2440.91,1,0,1,0.1907,1,21.78,0
0.0,3,0,380,15,1858.29,2,0,1,0.139,0,0.0,0
0.3333,12,4,662,13,1220.38,1,0,1,0.1383,0,24.43,0
0.0,6,0,408,14,3696.53,3,0,1,0.1342,0,0.0,1
0.5333,15,8,988,24,1637.45,2,0,1,0.0578,1,8.94,0
0.3333,9,3,855,26,1151.33,1,0,1,0.0541,1,20.02,0
0.1333,15,2,204,17,1489.57,2,0,1,0.3587,0,16.21,0
0.1667,6,1,999,23,1931.68,1,0,1,0.0473,0,16.95,0
0.375,8,3,461,18,1835.88,2,1,2,0.0253,1,24.88,0
0.375,16,6,412,26,2530.5,2,0,1,0.3156,1,33.09,0
0.1818,22,4,264,15,1158.51,1,0,1,0.3433,0,12.3,0
0.0,13,0,888,21,947.62,1,0,1,0.118,0,0.0,0
0.0667,15,1,219,13,1722.24,1,0,1,0.1431,0,7.4,0
0.5,14,7,688,27,2045.42,2,0,1,0.0394,2,25.59,0
0.0526,19,1,204,9,1082.44,1,0,1,0.3249,0,19.71,1
0.0,12,0,995,32,1989.22,2,0,1,0.0765,0,0.0,0
0.2727,22,6,897,21,1720.17,1,0,1,0.2986,0,19.82,0
0.2222,9,2,504,24,1993.19,3,0,1,0.1034,0,17.34,0
0.4286,7,3,890,14,2608.03,1,0,1,0.2545,0,21.04,0
0.6,10,6,341,21,1717.4,1,0,1,0.0681,0,25.34,0
0.0,15,0,967,22,1469.25,1,0,1,0.1289,0,0.0,0
0.08,25,2,259,10,1291.34,1,0,1,0.1438,0,9.83,0
0.0,9,0,915,12,1531.4,2,0,1,0.1601,0,0.0,0
0.4545,11,5,909,16,1447.38,1,0,1,0.1251,0,35.13,0
0.1429,21,3,932,31,1662.59,1,0,1,0.164,0,21.77,0
0.3,10,3,796,25,1772.1,3,0,1,0.1542,0,18.43,0
0.1429,7,1,558,18,1716.21,1,0,1,0.154,0,20.75,1
0.1176,34,4,510,25,1561.45,1,0,1,0.1587,0,20.82,0
0.0,6,0,818,10,1941.98,2,0,1,0.1054,0,0.0,0
0.25,4,1,693,34,2259.36,2,1,2,0.1717,0,12.4,1
0.5,8,4,938,14,2019.38,2,1,2,0.0421,0,21.71,0
0.0,9,0,455,26,1351.47,1,0,1,0.1636,0,0.0,0
0.2,15,3,829,22,1342.14,2,0,1,0.2512,1,19.53,0
0.08,25,2,528,28,1948.15,1,0,1,0.0627,1,11.46,1
0.1,10,1,235,26,1318.67,1,0,1,0.1253,0,12.71,0
0.0385,26,1,797,20,728.16,1,0,1,0.0813,0,27.32,0
0.2222,9,2,502,21,1389.31,2,1,2,0.1642,1,37.36,0
0.0833,12,1,802,10,1700.3,1,0,1,0.0607,0,10.48,0
0.0667,30,2,948,30,1092.12,1,0,1,0.4193,0,17.44,0
0.0667,45,3,681,17,988.49,3,0,1,0.0378,1,30.45,0
0.4211,19,8,653,27,1647.84,3,0,1,0.0106,0,22.83,0
0.125,32,4,534,22,1460.96,3,1,2,0.2969,0,24.77,0
0.0714,14,1,641,21,2431.66,2,0,1,0.1464,1,14.16,0
0.0909,11,1,879,9,1602.66,1,0,1,0.1161,0,15.52,0
0.0,9,0,667,22,1827.95,1,0,1,0.1652,0,0.0,1
0.1176,17,2,199,25,1578.23,2,0,1,0.1361,0,9.63,0
0.1905,21,4,844,49,4758.15,2,0,1,0.0699,2,45.78,0
0.2727,11,3,867,25,1436.75,1,0,1,0.1224,2,25.66,0
0.16,25,4,861,31,2433.85,3,0,1,0.1904,1,5.77,0
0.08,25,2,820,14,2203.88,2,1,2,0.3727,1,29.17,1
0.2105,19,4,621,21,4102.02,2,0,1,0.3487,0,26.8,0
0.1786,28,5,732,31,2565.05,2,0,1,0.119,0,15.24,0
0.2857,28,8,221,60,1537.71,2,0,1,0.2215,1,45.6,0
0.1111,9,1,528,33,1233.08,2,0,1,0.0193,0,16.84,0
0.1515,33,5,614,22,1493.25,2,0,1,0.042,0,14.17,0
0.1429,7,1,548,16,1670.73,1,0,1,0.2009,0,18.67,1
0.5714,14,8,588,18,1115.74,3,0,1,0.0966,0,7.74,0
0.0,7,0,364,30,4006.91,3,0,1,0.2432,0,0.0,0
