customer_return_rate,total_previous_orders,total_previous_returns,customer_history_days,days_since_last_order,cart_value,cart_item_count,multiple_sizes_same_product,max_sizes_same_product,average_product_return_rate,previous_returns_same_category,avg_days_to_return,return_abuse_label
0.1667,12,2,833,29,2011.74,2,0,1,0.1195,1,36.56,0
0.0,10,0,754,15,821.94,1,0,1,0.1347,0,0.0,0
0.0526,19,1,282,36,2574.52,2,0,1,0.0311,0,23.52,0
0.0,11,0,494,19,2142.76,2,0,1,0.0726,0,0.0,0
0.3333,9,3,381,27,1630.09,2,0,1,0.1536,0,15.5,0
0.0357,28,1,180,20,2753.56,2,0,1,0.0977,0,39.7,0
0.0,15,0,648,20,1537.55,1,0,1,0.0944,0,0.0,0
0.0,23,0,529,15,1159.74,1,0,1,0.0623,0,0.0,0
0.1429,14,2,566,7,2057.81,3,0,1,0.0262,1,18.76,0
0.0714,14,1,518,16,1640.67,2,0,1,0.177,0,16.68,0
0.0,8,0,257,20,2532.44,3,0,1,0.1448,0,0.0,1
0.6,10,6,253,18,1137.8,1,0,1,0.3494,0,20.51,0
0.3077,13,4,833,22,1793.35,3,1,3,0.0533,3,20.36,1
0.0909,11,1,192,25,2284.57,2,0,1,0.1264,0,9.88,0
0.0,32,0,234,29,1556.6,1,0,1,0.0551,0,0.0,1
0.25,4,1,398,11,1654.87,1,0,1,0.0296,0,13.55,0
0.2667,15,4,299,21,5419.66,3,0,1,0.2011,2,20.71,0
0.0833,12,1,510,20,1415.55,1,0,1,0.144,0,17.4,1
0.0,18,0,833,16,990.1,1,0,1,0.0996,0,0.0,0
0.0,13,0,738,19,1021.35,1,0,1,0.1992,0,0.0,0
0.4,5,2,653,29,2639.63,2,0,1,0.117,0,17.71,1
0.0,20,0,244,18,1430.15,1,0,1,0.244,0,0.0,0
0.5833,12,7,182,22,1308.23,2,0,1,0.0664,0,8.08,0
0.0,18,0,212,25,2736.39,2,0,1,0.3793,0,0.0,0
0.4,20,8,268,16,1395.76,2,0,1,0.1762,1,68.45,0
