customer_return_rate,total_previous_orders,total_previous_returns,customer_history_days,days_since_last_order,cart_value,cart_item_count,multiple_sizes_same_product,max_sizes_same_product,average_product_return_rate,previous_returns_same_category,avg_days_to_return,return_abuse_label
0.0,14,0,817,10,1466.04,1,0,1,0.3621,0,0.0,0
0.1071,28,3,206,29,3080.06,1,0,1,0.2758,0,26.43,0
0.2105,19,4,416,21,1799.68,2,1,2,0.2674,1,19.36,0
0.0,10,0,529,19,1222.68,2,0,1,0.2284,0,0.0,0
0.1905,21,4,311,13,1463.79,2,1,2,0.1397,0,5.84,0
0.15,20,3,265,13,1866.6,1,0,1,0.1177,1,11.96,0
0.2727,11,3,957,19,1894.53,2,1,2,0.222,1,8.52,1
0.4545,11,5,367,20,1469.82,1,0,1,0.0374,0,36.89,0
0.0,10,0,194,16,1076.96,1,0,1,0.1239,0,0.0,0
0.3077,13,4,468,42,2932.51,1,0,1,0.0646,0,24.98,0
0.0952,21,2,433,6,1581.32,1,0,1,0.0586,1,34.36,0
0.0882,34,3,359,15,1539.61,1,0,1,0.4665,0,26.55,1
0.0,7,0,842,90,1434.0,1,0,1,0.1673,0,0.0,0
0.0,15,0,204,21,2342.67,1,0,1,0.2841,0,0.0,0
0.1818,11,2,810,20,2169.27,2,0,1,0.1184,0,23.86,0
0.2353,34,8,932,11,3346.39,3,1,3,0.09,1,11.45,0
0.25,32,8,313,37,2275.44,1,0,1,0.0634,4,31.64,0
0.0,10,0,874,40,1241.78,1,0,1,0.0745,0,0.0,0
0.1667,12,2,750,19,675.26,1,0,1,0.2278,0,33.5,0
0.0,11,0,751,19,882.36,1,0,1,0.0885,0,0.0,1
0.0,13,0,851,12,1857.52,1,0,1,0.0123,0,0.0,0
0.0625,16,1,964,41,1073.55,2,0,1,0.0737,0,12.86,0
0.3333,15,5,334,23,2275.03,2,0,1,0.117,1,39.88,0
0.3333,18,6,869,21,1743.36,2,1,2,0.1207,0,19.37,0
0.1333,15,2,250,12,2243.12,2,0,1,0.1306,1,17.77,0
0.1875,16,3,520,34,2077.36,2,0,1,0.1808,1,18.42,0
0.1818,11,2,576,11,1922.91,1,0,1,0.0439,0,30.38,0
0.0588,17,1,614,23,1843.87,2,0,1,0.078,0,18.65,0
0.1111,9,1,180,23,2425.79,2,0,1,0.151,0,33.84,0
0.0714,14,1,474,19,1840.87,1,0,1,0.123,0,17.59,0
0.5263,19,10,643,15,870.29,1,0,1,0.0972,1,27.0,0
0.1,20,2,342,16,1703.91,2,0,1,0.1695,0,23.65,0
0.0,26,0,543,40,3031.01,1,0,1,0.3091,0,0.0,0
0.0,9,0,587,17,1371.79,2,0,1,0.1483,0,0.0,0
0.0714,14,1,332,15,1081.13,1,0,1,0.0237,0,25.38,0
0.1667,12,2,700,34,1368.67,1,0,1,0.0229,0,21.72,0
0.0,20,0,287,29,1724.37,2,0,1,0.0249,0,0.0,0
0.0741,27,2,580,44,1373.87,1,0,1,0.0725,1,19.34,0
0.2,20,4,333,25,1177.21,2,1,2,0.0656,0,18.61,1
0.0625,16,1,980,14,1022.37,1,0,1,0.2211,0,11.83,0
0.2778,18,5,383,18,2946.11,2,0,1,0.1733,0,17.18,0
0.2308,13,3,466,20,3134.15,2,0,1,0.1137,0,23.43,0
0.3333,6,2,450,25,2050.21,1,0,1,0.4166,0,20.8,0
0.0556,18,1,923,20,1196.37,1,0,1,0.442,0,21.02,0
0.0588,17,1,643,14,1827.83,1,0,1,0.1651,0,15.74,0
0.1111,9,1,354,21,1673.38,2,0,1,0.2839,0,16.7,0
0.0,4,0,532,34,1846.77,2,0,1,0.2243,0,0.0,0
0.5,8,4,891,32,2591.32,2,0,1,0.1273,0,14.49,1
0.3158,19,6,736,20,1394.71,1,0,1,0.1397,1,24.64,1
0.1667,6,1,352,16,1654.6,1,0,1,0.0502,1,26.03,0
0.3333,9,3,244,36,2006.34,1,0,1,0.0199,0,19.05,0
0.125,8,1,1000,19,1445.09,1,0,1,0.2929,0,36.15,0
0.0909,11,1,473,47,1979.32,2,1,2,0.2155,0,26.48,0
0.0435,23,1,722,15,1870.82,3,0,1,0.0917,0,31.42,0
0.4,5,2,187,18,2353.23,2,0,1,0.1715,0,23.67,0
0.0,5,0,628,12,1845.67,1,0,1,0.1084,0,0.0,0
0.1905,21,4,360,14,2041.36,1,0,1,0.1526,0,10.64,0
0.3333,6,2,732,24,1045.8,2,0,1,0.1814,0,40.93,0
0.4444,9,4,807,18,1602.3,1,0,1,0.1252,1,14.29,0
0.0882,34,3,479,20,1410.9,2,0,1,0.1286,1,19.47,0
0.1667,12,2,443,26,1978.65,1,0,1,0.2633,0,36.78,0
0.125,8,1,242,17,1748.16,1,0,1,0.0614,0,12.5,1
0.2778,18,5,563,38,2003.9,2,0,1,0.238,1,15.17,0
0.1429,7,1,799,16,2560.31,2,1,2,0.0826,0,29.0,0
0.15,20,3,346,28,2779.13,2,1,2,0.1895,0,11.01,0
